registry_id,hospital_name,state,lga,facility_level,facility_level_option,ownership,ownership_type,bed_count,doctor_count,nurse_count,ambulance_count,has_emergency_unit,has_operating_theatre,has_icu,has_blood_bank,source
05/02/1/1/1/0028,Giraka Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0057,Kusada Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0082,Unguwar Falke Health Post,Bauchi,Bauchi,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0030,Gosun Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0089,Yola Doka Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0006,Baram Gada Health Clinic,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0020,Dumin Miri Primary Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0094,Yalwan Kundum Primary Health Center,Bauchi,Bauchi,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0042,Jalingo Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0056,Kurwala Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0059,Kwagal Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0064,Liman Katagum Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0007,Barnawa Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0012,Buzaye Primary Health Center,Bauchi,Bauchi,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0021,Dungal Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/02/1/1/1/0038,Hammadada Health Post,Bauchi,Bauchi,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0045,Shadarki Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0028,Kili Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0053,Yolawa Primary Health Clinic,Bauchi,Darazo,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
