state,lga,population,centroid_latitude,centroid_longitude,nearest_hospital_registry_id,nearest_hospital_name,nearest_care_km,estimated_travel_time_minutes,average_road_speed_kph,road_access_factor,rurality_index,route_source,source
Kogi,Kabba/Bunu,158558,8.100068,6.228895,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Kogi,124897,8.14617,6.864772,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Lokoja,381280,8.209048,6.468625,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Mopa-Muro,57685,8.151538,5.909263,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Ofu,260569,7.325493,7.037584,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Ogori/Magongo,13420,7.477014,6.160546,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Okehi,49622,7.729005,6.3293,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Okene,154197,7.473279,6.344212,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Olamaboro,322887,7.191459,7.533939,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Omala,132183,7.808645,7.546601,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Yagba East,87929,8.17197,5.771196,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kogi,Yagba West,48022,8.315991,5.539066,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Asa,353226,8.447757,4.423778,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Baruten,556680,9.27175,3.324161,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Edu,256902,8.908296,5.180379,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Ekiti,52182,8.109629,5.342524,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Ifelodun,227430,7.941699,4.673944,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Ilorin East,944764,8.565546,4.745262,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Ilorin South,143270,8.416378,4.613083,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Ilorin West,621471,8.488183,4.523067,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Irepodun,185107,7.866797,4.515346,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Isin,53882,8.264792,5.042629,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Kaiama,432193,9.398917,4.09805,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Moro,297714,8.845187,4.58075,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Offa,209697,8.151206,4.684142,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Oke Ero,47025,8.193431,5.276945,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Oyun,165619,8.166088,4.667897,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Kwara,Pategi,141560,8.62844,5.789011,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Agege,208739,6.622998,3.318565,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ajeromi/Ifelodun,190634,6.455592,3.337325,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Alimosho,2107579,6.577778,3.260054,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Amuwo Odofin,495981,6.441429,3.280009,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Apapa,230283,6.448066,3.360073,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Badagry,562247,6.437038,2.916926,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Epe,220872,6.619593,3.881948,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Eti Osa,880719,6.468986,3.557114,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ibeju Lekki,430368,6.482167,4.00501,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ifako/Ijaye,238326,6.65672,3.317013,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ikeja,317785,6.604805,3.354371,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ikorodu,1225579,6.598403,3.566495,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Kosofe,496184,6.58505,3.413981,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Lagos Island,69755,6.457695,3.392989,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Lagos Mainland,319893,6.500381,3.39116,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Mushin,200925,6.532255,3.350316,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Ojo,684611,6.456168,3.162554,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Oshodi/Isolo,492594,6.537887,3.315921,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Shomolu,124222,6.53385,3.387784,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Lagos,Surulere,68447,8.089054,4.414004,,,,,42.0,0.98,0.9,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Akwanga,149923,9.003307,8.325654,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Awe,279131,8.248127,9.227457,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Doma,1000273,8.210874,8.131371,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Karu,1239650,9.024096,7.761919,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Keana,112203,8.17201,8.787776,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Keffi,232923,8.830144,7.831156,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Kokona,311940,8.829299,8.055929,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Lafia,252545,8.701408,8.825531,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Nasarawa,416281,8.399688,7.705919,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Nasarawa Egon,57365,8.690246,8.326958,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Obi,212223,,,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Toto,178386,8.273237,7.206983,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Nasarawa,Wamba,288565,8.940789,8.632981,,,,,35.0,1.14,1.08,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Agaie,205956,8.944283,6.43858,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Agwara,147415,10.733567,4.51888,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Bida,228618,9.088626,6.012671,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Borgu,651448,10.295465,4.164033,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Bosso,440043,9.612143,6.42688,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Chanchaga,525191,9.606252,6.539576,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Edati,108404,9.043891,5.666571,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Gbako,400976,9.244788,6.011471,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Gurara,202682,9.332786,7.045338,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Katcha,375149,9.11604,6.241301,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Kontagora,416298,10.407797,5.489759,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Lapai,384470,8.746177,6.663257,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Lavun,243083,9.449899,5.587358,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Magama,507991,10.369329,4.975002,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Mariga,783301,10.685705,5.811454,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Mashegu,873610,9.865259,5.242901,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Mokwa,443312,9.187847,5.291254,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Munya,315364,9.820261,7.040673,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Paikoro,422617,9.463736,6.846566,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Rafi,597253,10.160685,6.254815,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Rijau,453084,11.078096,5.125849,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Shiroro,619281,10.112014,6.690581,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Suleja,497260,9.214696,7.188559,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Tafa,138439,9.256647,7.277454,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Niger,Wushishi,241926,9.668859,5.959398,,,,,34.0,1.18,1.14,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Abeokuta North,387169,7.24519,3.167004,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Abeokuta South,303574,7.156485,3.364873,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ado Odo/Ota,1870940,6.617169,3.082934,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ewekoro,155564,6.95039,3.196804,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ifo,1386800,6.767554,3.24242,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ijebu East,195204,6.823133,4.271668,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ijebu North,182301,7.012171,4.003126,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ijebu North East,47062,6.877746,4.019026,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ijebu Ode,201669,6.740234,3.977179,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ikenne,132946,6.900605,3.689747,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Imeko Afon,121739,7.628962,2.865435,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ipokia,280450,6.618114,2.799723,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Obafemi Owode,937418,7.011482,3.495277,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Odeda,282697,7.310786,3.502415,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Odogbolu,186065,6.77998,3.814592,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Ogun Waterside,61096,6.495829,4.406695,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Remo North,70787,7.005597,3.721703,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Shagamu,765429,6.778432,3.579768,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Yewa North,315939,7.119299,2.90884,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ogun,Yewa South,248524,6.782084,2.95883,,,,,39.0,1.02,0.96,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Akoko North East,124175,7.538636,5.818427,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Akoko North West,106974,7.642693,5.79453,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Akoko South East,45224,7.429703,5.908768,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Akoko South West,147207,7.39835,5.687568,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Akure North,236237,7.265237,5.317854,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
